Date,Country,Infections,Recovered,Deaths,Tests
2020/1/22,Total,555,28,17,16
2020/1/22,China,548,28,17,0
2020/1/22,France,0,0,0,0
2020/1/22,Germany,0,0,0,0
2020/1/22,Iran,0,0,0,0
2020/1/22,Italy,0,0,0,0
2020/1/22,South Korea,1,0,0,16
2020/1/22,Netherlands,0,0,0,0
2020/1/22,Spain,0,0,0,0
2020/1/22,Switzerland,0,0,0,0
2020/1/22,Turkey,0,0,0,0
2020/1/22,United Kingdom,0,0,0,0
2020/1/22,United States,1,0,0,0
2020/1/23,Total,654,30,18,2
2020/1/23,China,643,30,18,0
2020/1/23,France,0,0,0,0
2020/1/23,Germany,0,0,0,0
2020/1/23,Iran,0,0,0,0
2020/1/23,Italy,0,0,0,0
2020/1/23,South Korea,1,0,0,0
2020/1/23,Netherlands,0,0,0,0
2020/1/23,Spain,0,0,0,0
2020/1/23,Switzerland,0,0,0,0
2020/1/23,Turkey,0,0,0,0
2020/1/23,United Kingdom,0,0,0,0
2020/1/23,United States,1,0,0,0
2020/1/24,Total,941,36,26,29
2020/1/24,China,920,36,26,0
2020/1/24,France,2,0,0,0
2020/1/24,Germany,0,0,0,0
2020/1/24,Iran,0,0,0,0
2020/1/24,Italy,0,0,0,0
2020/1/24,South Korea,2,0,0,25
2020/1/24,Netherlands,0,0,0,0
2020/1/24,Spain,0,0,0,0
2020/1/24,Switzerland,0,0,0,0
2020/1/24,Turkey,0,0,0,0
2020/1/24,United Kingdom,0,0,0,0
2020/1/24,United States,2,0,0,0
2020/1/25,Total,1434,39,42,38
2020/1/25,China,1406,39,42,0
2020/1/25,France,3,0,0,0
2020/1/25,Germany,0,0,0,0
2020/1/25,Iran,0,0,0,0
2020/1/25,Italy,0,0,0,0
2020/1/25,South Korea,2,0,0,0
2020/1/25,Netherlands,0,0,0,0
2020/1/25,Spain,0,0,0,0
2020/1/25,Switzerland,0,0,0,0
2020/1/25,Turkey,0,0,0,0
2020/1/25,United Kingdom,0,0,0,31
2020/1/25,United States,2,0,0,0
2020/1/26,Total,2118,52,56,103
2020/1/26,China,2075,49,56,0
2020/1/26,France,3,0,0,0
2020/1/26,Germany,0,0,0,0
2020/1/26,Iran,0,0,0,0
2020/1/26,Italy,0,0,0,0
2020/1/26,South Korea,3,0,0,48
2020/1/26,Netherlands,0,0,0,0
2020/1/26,Spain,0,0,0,0
2020/1/26,Switzerland,0,0,0,0
2020/1/26,Turkey,0,0,0,0
2020/1/26,United Kingdom,0,0,0,52
2020/1/26,United States,5,0,0,0
2020/1/27,Total,2927,61,82,154
2020/1/27,China,2877,58,82,0
2020/1/27,France,3,0,0,0
2020/1/27,Germany,1,0,0,0
2020/1/27,Iran,0,0,0,0
2020/1/27,Italy,0,0,0,0
2020/1/27,South Korea,4,0,0,57
2020/1/27,Netherlands,0,0,0,0
2020/1/27,Spain,0,0,0,0
2020/1/27,Switzerland,0,0,0,0
2020/1/27,Turkey,0,0,0,0
2020/1/27,United Kingdom,0,0,0,73
2020/1/27,United States,5,0,0,0
2020/1/28,Total,5578,107,131,315
2020/1/28,China,5509,101,131,0
2020/1/28,France,4,0,0,0
2020/1/28,Germany,4,0,0,0
2020/1/28,Iran,0,0,0,0
2020/1/28,Italy,0,0,0,0
2020/1/28,South Korea,4,0,0,187
2020/1/28,Netherlands,0,0,0,0
2020/1/28,Spain,0,0,0,0
2020/1/28,Switzerland,0,0,0,0
2020/1/28,Turkey,0,0,0,0
2020/1/28,United Kingdom,0,0,0,97
2020/1/28,United States,5,0,0,0
2020/1/29,Total,6166,126,133,183
2020/1/29,China,6087,120,133,0
2020/1/29,France,5,0,0,0
2020/1/29,Germany,4,0,0,0
2020/1/29,Iran,0,0,0,0
2020/1/29,Italy,0,0,0,0
2020/1/29,South Korea,4,0,0,0
2020/1/29,Netherlands,0,0,0,0
2020/1/29,Spain,0,0,0,0
2020/1/29,Switzerland,0,0,0,0
2020/1/29,Turkey,0,0,0,0
2020/1/29,United Kingdom,0,0,0,130
2020/1/29,United States,5,0,0,0
2020/1/30,Total,8234,143,171,509
